,timestamp,ch1_bias,ch1_derivedPk,ch1_direct,ch1_directRMS,ch1_velocityPk,ch1_velocityRMS,ch2_bias,ch2_derivedPk,ch2_direct,ch2_directRMS,ch2_velocityPk,ch2_velocityRMS,status,volts
38,1/23/2025 12:53,-11.982,0.033,0.073,0.023,0.032,0.017,-12.022,0.054,0.117,0.038,0.038,0.018,baseline,50
39,1/23/2025 12:53,-11.982,0.029,0.078,0.02,0.034,0.02,-12.022,0.043,0.122,0.03,0.039,0.019,baseline,50
40,1/23/2025 12:53,-11.982,0.029,0.078,0.021,0.034,0.019,-12.022,0.04,0.138,0.028,0.037,0.021,baseline,50
41,1/23/2025 12:53,-11.982,0.031,0.072,0.022,0.031,0.017,-12.022,0.043,0.137,0.03,0.038,0.019,baseline,50
42,1/23/2025 12:53,-11.982,0.029,0.071,0.021,0.031,0.016,-12.022,0.055,0.122,0.039,0.036,0.02,baseline,50
43,1/23/2025 12:53,-11.982,0.033,0.077,0.023,0.034,0.017,-12.022,0.046,0.128,0.032,0.035,0.019,baseline,50
44,1/23/2025 12:53,-11.982,0.032,0.077,0.023,0.034,0.018,-12.022,0.051,0.113,0.036,0.037,0.018,baseline,50
45,1/23/2025 12:53,-11.982,0.029,0.069,0.02,0.031,0.016,-12.022,0.052,0.12,0.037,0.038,0.02,baseline,50
46,1/23/2025 12:53,-11.982,0.028,0.095,0.02,0.035,0.017,-12.022,0.04,0.132,0.028,0.036,0.018,baseline,50
47,1/23/2025 12:53,-11.982,0.029,0.074,0.02,0.034,0.016,-12.023,0.051,0.133,0.036,0.036,0.019,baseline,50
48,1/23/2025 12:53,-11.982,0.034,0.072,0.024,0.032,0.018,-12.023,0.052,0.118,0.036,0.04,0.018,baseline,50
49,1/23/2025 12:53,-11.982,0.03,0.095,0.021,0.034,0.016,-12.023,0.043,0.112,0.03,0.037,0.02,baseline,50
50,1/23/2025 12:53,-11.982,0.032,0.07,0.023,0.032,0.018,-12.022,0.053,0.136,0.037,0.036,0.018,baseline,50
51,1/23/2025 12:54,-11.982,0.032,0.072,0.023,0.035,0.015,-12.023,0.043,0.119,0.03,0.037,0.02,baseline,50
52,1/23/2025 12:54,-11.982,0.027,0.08,0.019,0.034,0.018,-12.022,0.045,0.148,0.032,0.036,0.018,baseline,50
53,1/23/2025 12:54,-11.982,0.033,0.072,0.023,0.032,0.016,-12.022,0.051,0.116,0.036,0.037,0.019,baseline,50
54,1/23/2025 12:54,-11.982,0.033,0.078,0.023,0.036,0.015,-12.022,0.038,0.116,0.027,0.039,0.018,baseline,50
55,1/23/2025 12:54,-11.982,0.029,0.077,0.021,0.033,0.019,-12.022,0.043,0.128,0.03,0.039,0.021,baseline,50
56,1/23/2025 12:54,-11.982,0.034,0.072,0.024,0.032,0.02,-12.023,0.049,0.137,0.035,0.037,0.018,baseline,50
57,1/23/2025 12:54,-11.982,0.028,0.077,0.02,0.034,0.02,-12.023,0.052,0.116,0.037,0.038,0.022,baseline,50
58,1/23/2025 12:54,-11.982,0.031,0.07,0.022,0.032,0.015,-12.023,0.046,0.112,0.032,0.036,0.022,baseline,50
59,1/23/2025 12:54,-11.982,0.029,0.072,0.021,0.033,0.019,-12.023,0.041,0.131,0.029,0.037,0.017,baseline,50
60,1/23/2025 12:54,-11.982,0.028,0.079,0.02,0.031,0.015,-12.023,0.05,0.117,0.035,0.038,0.02,baseline,50
61,1/23/2025 12:55,-11.982,0.031,0.068,0.022,0.034,0.018,-12.023,0.055,0.13,0.039,0.037,0.017,baseline,50
62,1/23/2025 12:55,-11.982,0.029,0.075,0.02,0.034,0.016,-12.023,0.042,0.113,0.03,0.036,0.02,baseline,50
63,1/23/2025 12:55,-11.982,0.031,0.072,0.022,0.032,0.018,-12.023,0.052,0.14,0.037,0.036,0.018,baseline,50
64,1/23/2025 12:55,-11.982,0.034,0.087,0.024,0.034,0.018,-12.023,0.04,0.133,0.028,0.037,0.02,baseline,50
65,1/23/2025 12:55,-11.983,0.029,0.081,0.021,0.032,0.017,-12.023,0.05,0.121,0.035,0.038,0.02,baseline,50
66,1/23/2025 12:55,-11.983,0.028,0.072,0.02,0.036,0.016,-12.023,0.053,0.132,0.037,0.036,0.019,baseline,50
67,1/23/2025 12:55,-11.982,0.032,0.079,0.022,0.032,0.016,-12.023,0.041,0.118,0.029,0.038,0.018,baseline,50
68,1/23/2025 12:55,-11.983,0.033,0.073,0.023,0.036,0.018,-12.023,0.041,0.129,0.029,0.037,0.018,baseline,50
69,1/23/2025 12:55,-11.983,0.031,0.09,0.022,0.033,0.017,-12.023,0.046,0.118,0.033,0.04,0.02,baseline,50
70,1/23/2025 12:55,-11.983,0.028,0.07,0.02,0.035,0.018,-12.023,0.041,0.16,0.029,0.037,0.019,baseline,50
71,1/23/2025 12:55,-11.982,0.033,0.099,0.024,0.033,0.019,-12.023,0.051,0.11,0.036,0.04,0.02,baseline,50
72,1/23/2025 12:55,-11.982,0.034,0.071,0.024,0.035,0.017,-12.023,0.049,0.126,0.034,0.04,0.02,baseline,50
73,1/23/2025 12:55,-11.983,0.028,0.076,0.02,0.031,0.018,-12.023,0.04,0.136,0.028,0.037,0.019,baseline,50
74,1/23/2025 12:56,-11.983,0.031,0.071,0.022,0.032,0.017,-12.023,0.044,0.115,0.031,0.036,0.018,baseline,50
75,1/23/2025 12:56,-11.983,0.028,0.077,0.02,0.034,0.016,-12.023,0.052,0.128,0.037,0.039,0.021,baseline,50
76,1/23/2025 12:56,-11.983,0.031,0.084,0.022,0.033,0.02,-12.023,0.044,0.11,0.031,0.036,0.018,baseline,50
77,1/23/2025 12:56,-11.983,0.03,0.07,0.021,0.035,0.016,-12.023,0.049,0.122,0.035,0.037,0.019,baseline,50
78,1/23/2025 12:56,-11.983,0.032,0.071,0.023,0.032,0.017,-12.023,0.041,0.113,0.029,0.036,0.023,baseline,50
79,1/23/2025 12:56,-11.983,0.027,0.079,0.019,0.031,0.022,-12.023,0.041,0.137,0.029,0.038,0.021,baseline,50
80,1/23/2025 12:56,-11.982,0.031,0.085,0.022,0.034,0.017,-12.023,0.048,0.11,0.034,0.037,0.019,baseline,50
81,1/23/2025 12:56,-11.983,0.029,0.068,0.02,0.034,0.019,-12.023,0.048,0.126,0.034,0.037,0.021,baseline,50
82,1/23/2025 12:56,-11.982,0.031,0.078,0.022,0.035,0.018,-12.023,0.043,0.11,0.03,0.036,0.018,baseline,50
83,1/23/2025 12:56,-11.982,0.028,0.069,0.02,0.032,0.018,-12.023,0.04,0.122,0.028,0.037,0.02,baseline,50
84,1/23/2025 12:56,-11.982,0.031,0.066,0.022,0.033,0.019,-12.023,0.051,0.11,0.036,0.037,0.02,baseline,50
85,1/23/2025 12:56,-11.983,0.028,0.079,0.02,0.034,0.017,-12.023,0.049,0.109,0.034,0.038,0.019,baseline,50
86,1/23/2025 12:57,-11.982,0.032,0.066,0.022,0.038,0.019,-12.023,0.047,0.119,0.033,0.036,0.021,baseline,50
87,1/23/2025 12:57,-11.982,0.029,0.075,0.02,0.041,0.018,-12.023,0.042,0.108,0.029,0.036,0.021,baseline,50
88,1/23/2025 12:57,-11.982,0.031,0.077,0.022,0.033,0.017,-12.023,0.047,0.123,0.033,0.038,0.019,baseline,50
89,1/23/2025 12:57,-11.982,0.028,0.069,0.02,0.04,0.02,-12.023,0.039,0.121,0.028,0.037,0.021,baseline,50
90,1/23/2025 12:57,-11.982,0.035,0.09,0.025,0.037,0.017,-12.023,0.05,0.104,0.036,0.04,0.019,baseline,50
91,1/23/2025 12:57,-11.982,0.032,0.081,0.023,0.035,0.019,-12.023,0.037,0.131,0.026,0.043,0.021,baseline,50
92,1/23/2025 12:57,-11.982,0.03,0.065,0.022,0.036,0.018,-12.023,0.05,0.116,0.036,0.037,0.018,baseline,50
93,1/23/2025 12:57,-11.982,0.029,0.065,0.02,0.034,0.019,-12.023,0.049,0.116,0.034,0.037,0.021,baseline,50
94,1/23/2025 12:57,-11.982,0.027,0.075,0.019,0.036,0.017,-12.023,0.04,0.108,0.028,0.043,0.019,baseline,50
95,1/23/2025 12:57,-11.982,0.03,0.067,0.021,0.035,0.019,-12.023,0.045,0.107,0.032,0.039,0.021,baseline,50
96,1/23/2025 12:57,-11.983,0.028,0.073,0.02,0.033,0.019,-12.023,0.049,0.108,0.035,0.038,0.019,baseline,50
97,1/23/2025 12:57,-11.983,0.031,0.069,0.022,0.035,0.017,-12.023,0.04,0.115,0.028,0.037,0.021,baseline,50
98,1/23/2025 12:57,-11.983,0.026,0.074,0.019,0.033,0.019,-12.024,0.048,0.122,0.034,0.038,0.022,baseline,50
99,1/23/2025 12:58,-11.983,0.032,0.067,0.023,0.037,0.017,-12.024,0.039,0.11,0.028,0.037,0.017,baseline,50
100,1/23/2025 12:58,-11.983,0.028,0.066,0.02,0.033,0.021,-12.024,0.054,0.112,0.038,0.039,0.019,baseline,50
101,1/23/2025 12:58,-11.983,0.03,0.076,0.022,0.036,0.014,-12.023,0.043,0.12,0.03,0.037,0.02,baseline,50
102,1/23/2025 12:58,-11.983,0.028,0.078,0.02,0.035,0.021,-12.023,0.049,0.107,0.034,0.037,0.019,baseline,50
103,1/23/2025 12:58,-11.983,0.03,0.069,0.021,0.034,0.017,-12.023,0.047,0.121,0.034,0.039,0.019,baseline,50
104,1/23/2025 12:58,-11.983,0.027,0.074,0.019,0.033,0.019,-12.023,0.042,0.108,0.029,0.038,0.022,baseline,50
105,1/23/2025 12:58,-11.983,0.031,0.068,0.022,0.035,0.017,-12.023,0.049,0.106,0.034,0.037,0.019,baseline,50
106,1/23/2025 12:58,-11.983,0.027,0.069,0.019,0.033,0.017,-12.023,0.042,0.113,0.03,0.038,0.017,baseline,50
107,1/23/2025 12:58,-11.983,0.03,0.075,0.021,0.038,0.018,-12.023,0.049,0.108,0.035,0.037,0.025,baseline,50
108,1/23/2025 12:58,-11.983,0.028,0.068,0.019,0.034,0.02,-12.023,0.04,0.117,0.028,0.038,0.026,baseline,50
109,1/23/2025 12:58,-11.983,0.031,0.081,0.022,0.037,0.017,-12.023,0.04,0.106,0.028,0.04,0.017,baseline,50
110,1/23/2025 12:59,-11.983,0.027,0.068,0.019,0.033,0.015,-12.023,0.053,0.128,0.037,0.039,0.02,baseline,50
111,1/23/2025 12:59,-11.983,0.031,0.079,0.022,0.039,0.025,-12.023,0.052,0.105,0.037,0.037,0.019,baseline,50
112,1/23/2025 12:59,-11.983,0.028,0.069,0.02,0.032,0.025,-12.023,0.04,0.13,0.029,0.037,0.02,baseline,50
113,1/23/2025 12:59,-11.983,0.032,0.077,0.022,0.036,0.015,-12.023,0.04,0.108,0.029,0.039,0.019,baseline,50
114,1/23/2025 12:59,-11.983,0.03,0.066,0.021,0.034,0.018,-12.023,0.05,0.103,0.035,0.039,0.02,baseline,50
115,1/23/2025 12:59,-11.983,0.029,0.07,0.02,0.035,0.017,-12.023,0.041,0.122,0.029,0.037,0.02,baseline,50
116,1/23/2025 12:59,-11.983,0.03,0.079,0.021,0.034,0.018,-12.024,0.05,0.109,0.035,0.037,0.018,baseline,50
117,1/23/2025 12:59,-11.983,0.027,0.067,0.019,0.033,0.017,-12.024,0.039,0.12,0.028,0.038,0.021,baseline,50
118,1/23/2025 12:59,-11.983,0.028,0.077,0.02,0.035,0.018,-12.024,0.048,0.101,0.034,0.037,0.019,baseline,50
119,1/23/2025 12:59,-11.983,0.032,0.064,0.023,0.034,0.018,-12.024,0.038,0.105,0.027,0.036,0.021,baseline,50
120,1/23/2025 12:59,-11.983,0.032,0.067,0.022,0.035,0.018,-12.024,0.047,0.134,0.033,0.037,0.019,baseline,50
121,1/23/2025 12:59,-11.983,0.028,0.083,0.019,0.033,0.016,-12.024,0.05,0.15,0.036,0.039,0.021,baseline,50
122,1/23/2025 13:00,-11.983,0.028,0.096,0.02,0.045,0.02,-12.024,0.041,0.111,0.029,0.035,0.019,baseline,50
123,1/23/2025 13:00,-11.983,0.032,0.07,0.023,0.044,0.017,-12.024,0.041,0.109,0.029,0.051,0.021,baseline,50
124,1/23/2025 13:00,-11.983,0.028,0.065,0.02,0.031,0.019,-12.024,0.04,0.123,0.028,0.048,0.021,baseline,50
125,1/23/2025 13:00,-11.983,0.031,0.091,0.022,0.032,0.016,-12.024,0.051,0.125,0.036,0.035,0.019,baseline,50
126,1/23/2025 13:00,-11.983,0.029,0.081,0.02,0.034,0.018,-12.024,0.049,0.108,0.034,0.036,0.019,baseline,50
127,1/23/2025 13:00,-11.983,0.028,0.08,0.02,0.032,0.019,-12.024,0.046,0.121,0.032,0.039,0.022,baseline,50
128,1/23/2025 13:00,-11.983,0.03,0.068,0.021,0.035,0.019,-12.024,0.037,0.103,0.026,0.038,0.02,baseline,50
129,1/23/2025 13:00,-11.983,0.028,0.067,0.02,0.035,0.017,-12.024,0.049,0.1,0.035,0.036,0.02,baseline,50
130,1/23/2025 13:00,-11.983,0.03,0.076,0.022,0.033,0.017,-12.024,0.04,0.118,0.028,0.038,0.02,baseline,50
131,1/23/2025 13:00,-11.983,0.029,0.069,0.021,0.034,0.02,-12.024,0.048,0.109,0.034,0.038,0.02,baseline,50
132,1/23/2025 13:00,-11.983,0.028,0.074,0.02,0.031,0.019,-12.024,0.039,0.118,0.027,0.037,0.021,baseline,50
133,1/23/2025 13:00,-11.983,0.029,0.081,0.02,0.034,0.018,-12.024,0.048,0.102,0.034,0.036,0.021,baseline,50
134,1/23/2025 13:01,-11.983,0.032,0.069,0.023,0.037,0.019,-12.024,0.05,0.101,0.035,0.037,0.02,baseline,50
135,1/23/2025 13:01,-11.983,0.03,0.074,0.021,0.035,0.018,-12.024,0.039,0.115,0.028,0.039,0.02,baseline,50
136,1/23/2025 13:01,-11.983,0.028,0.093,0.02,0.032,0.02,-12.024,0.047,0.11,0.033,0.038,0.021,baseline,50
