timestamp,ch1_bias,ch1_derivedPk,ch1_direct,ch1_directRMS,ch1_velocityPk,ch1_velocityRMS,ch2_bias,ch2_derivedPk,ch2_direct,ch2_directRMS,ch2_velocityPk,ch2_velocityRMS,status,volts
2/17/2025 12:42,-11.983,0.034,0.063,0.024,0.097,0.065,-12.024,0.05,0.072,0.036,0.152,0.103,imbalance,50
2/17/2025 12:42,-11.983,0.031,0.063,0.022,0.096,0.062,-12.024,0.046,0.072,0.032,0.151,0.103,imbalance,50
2/17/2025 12:42,-11.983,0.033,0.058,0.023,0.1,0.064,-12.024,0.05,0.087,0.035,0.157,0.105,imbalance,50
2/17/2025 12:42,-11.983,0.032,0.066,0.023,0.1,0.062,-12.024,0.048,0.079,0.034,0.151,0.105,imbalance,50
2/17/2025 12:42,-11.983,0.03,0.059,0.021,0.096,0.064,-12.024,0.045,0.073,0.032,0.162,0.103,imbalance,50
2/17/2025 12:42,-11.983,0.032,0.056,0.023,0.101,0.063,-12.024,0.048,0.071,0.034,0.153,0.106,imbalance,50
2/17/2025 12:42,-11.983,0.03,0.056,0.021,0.101,0.064,-12.024,0.045,0.078,0.032,0.158,0.105,imbalance,50
2/17/2025 12:42,-11.983,0.034,0.062,0.024,0.098,0.064,-12.024,0.046,0.075,0.032,0.151,0.103,imbalance,50
2/17/2025 12:42,-11.983,0.035,0.064,0.025,0.097,0.063,-12.024,0.051,0.071,0.036,0.153,0.104,imbalance,50
2/17/2025 12:42,-11.983,0.031,0.058,0.022,0.103,0.065,-12.024,0.045,0.081,0.032,0.16,0.106,imbalance,50
2/17/2025 12:42,-11.983,0.031,0.059,0.022,0.097,0.063,-12.024,0.045,0.074,0.032,0.152,0.105,imbalance,50
2/17/2025 12:42,-11.983,0.035,0.067,0.025,0.096,0.063,-12.024,0.051,0.073,0.036,0.152,0.102,imbalance,50
2/17/2025 12:43,-11.982,0.031,0.056,0.022,0.1,0.064,-12.024,0.046,0.071,0.033,0.159,0.107,imbalance,50
2/17/2025 12:43,-11.982,0.035,0.063,0.025,0.097,0.065,-12.024,0.05,0.078,0.035,0.16,0.103,imbalance,50
2/17/2025 12:43,-11.983,0.033,0.062,0.023,0.101,0.063,-12.024,0.048,0.078,0.034,0.149,0.106,imbalance,50
